"path","exact","attributes_exact","max_absolute","changed_finite","nonfinite_exact"
"/empty/uv",TRUE,TRUE,0,0,TRUE
"/empty/position",TRUE,TRUE,0,0,TRUE
"/empty/depth",TRUE,TRUE,0,0,TRUE
"/offscreen/none",TRUE,TRUE,0,0,TRUE
"/offscreen/all/r",TRUE,TRUE,0,0,TRUE
"/offscreen/all/g",TRUE,TRUE,0,0,TRUE
"/offscreen/all/b",TRUE,TRUE,0,0,TRUE
"/offscreen/all/a",TRUE,TRUE,0,0,TRUE
"/offscreen/all/amb",TRUE,TRUE,0,0,TRUE
"/offscreen/all/depth",TRUE,TRUE,0,0,TRUE
"/offscreen/all/linear_depth",TRUE,TRUE,0,0,TRUE
"/offscreen/all/normalx",TRUE,TRUE,0,0,TRUE
"/offscreen/all/normaly",TRUE,TRUE,0,0,TRUE
"/offscreen/all/normalz",TRUE,TRUE,0,0,TRUE
"/offscreen/all/positionx",TRUE,TRUE,0,0,TRUE
"/offscreen/all/positiony",TRUE,TRUE,0,0,TRUE
"/offscreen/all/positionz",TRUE,TRUE,0,0,TRUE
"/offscreen/all/uvx",TRUE,TRUE,0,0,TRUE
"/offscreen/all/uvy",TRUE,TRUE,0,0,TRUE
"/offscreen/all/uvz",TRUE,TRUE,0,0,TRUE
"/offscreen/raw_depth",TRUE,TRUE,0,0,TRUE
"/offscreen/normals",TRUE,TRUE,0,0,TRUE
"/offscreen/uv",TRUE,TRUE,0,0,TRUE
"/offscreen/position",TRUE,TRUE,0,0,TRUE
"/offscreen/depth",TRUE,TRUE,0,0,TRUE
"/near_crossing/none",TRUE,TRUE,0,0,TRUE
"/near_crossing/all/r",TRUE,TRUE,0,0,TRUE
"/near_crossing/all/g",TRUE,TRUE,0,0,TRUE
"/near_crossing/all/b",TRUE,TRUE,0,0,TRUE
"/near_crossing/all/a",TRUE,TRUE,0,0,TRUE
"/near_crossing/all/amb",TRUE,TRUE,0,0,TRUE
"/near_crossing/all/depth",TRUE,TRUE,0,0,TRUE
"/near_crossing/all/linear_depth",TRUE,TRUE,0,0,TRUE
"/near_crossing/all/normalx",TRUE,TRUE,0,0,TRUE
"/near_crossing/all/normaly",TRUE,TRUE,0,0,TRUE
"/near_crossing/all/normalz",TRUE,TRUE,0,0,TRUE
"/near_crossing/all/positionx",TRUE,TRUE,0,0,TRUE
"/near_crossing/all/positiony",TRUE,TRUE,0,0,TRUE
"/near_crossing/all/positionz",TRUE,TRUE,0,0,TRUE
"/near_crossing/all/uvx",TRUE,TRUE,0,0,TRUE
"/near_crossing/all/uvy",TRUE,TRUE,0,0,TRUE
"/near_crossing/all/uvz",TRUE,TRUE,0,0,TRUE
"/near_crossing/raw_depth",TRUE,TRUE,0,0,TRUE
"/near_crossing/normals",TRUE,TRUE,0,0,TRUE
"/near_crossing/uv",TRUE,TRUE,0,0,TRUE
"/near_crossing/position",TRUE,TRUE,0,0,TRUE
"/near_crossing/depth",TRUE,TRUE,0,0,TRUE
"/sliver/none",TRUE,TRUE,0,0,TRUE
"/sliver/all/r",TRUE,TRUE,0,0,TRUE
"/sliver/all/g",TRUE,TRUE,0,0,TRUE
"/sliver/all/b",TRUE,TRUE,0,0,TRUE
"/sliver/all/a",TRUE,TRUE,0,0,TRUE
"/sliver/all/amb",TRUE,TRUE,0,0,TRUE
"/sliver/all/depth",TRUE,TRUE,0,0,TRUE
