"case","buffer","exact","max_absolute","mean_absolute","changed_samples","nonfinite_mismatch","attributes_identical"
"empty/all","positionx",TRUE,0,0,0,0,TRUE
"empty/all","positiony",TRUE,0,0,0,0,TRUE
"empty/all","positionz",TRUE,0,0,0,0,TRUE
"empty/all","uvx",TRUE,0,0,0,0,TRUE
"empty/all","uvy",TRUE,0,0,0,0,TRUE
"empty/all","uvz",TRUE,0,0,0,0,TRUE
"empty/raw_depth","image",TRUE,0,0,0,0,TRUE
"empty/normals","image",TRUE,0,0,0,0,TRUE
"empty/uv","image",TRUE,0,0,0,0,TRUE
"empty/position","image",TRUE,0,0,0,0,TRUE
"empty/depth","image",TRUE,0,0,0,0,TRUE
"offscreen/none","image",TRUE,0,0,0,0,TRUE
"offscreen/all","r",TRUE,0,0,0,0,TRUE
"offscreen/all","g",TRUE,0,0,0,0,TRUE
"offscreen/all","b",TRUE,0,0,0,0,TRUE
"offscreen/all","a",TRUE,0,0,0,0,TRUE
"offscreen/all","amb",TRUE,0,0,0,0,TRUE
"offscreen/all","depth",TRUE,0,0,0,0,TRUE
"offscreen/all","linear_depth",TRUE,0,0,0,0,TRUE
"offscreen/all","normalx",TRUE,0,0,0,0,TRUE
"offscreen/all","normaly",TRUE,0,0,0,0,TRUE
"offscreen/all","normalz",TRUE,0,0,0,0,TRUE
"offscreen/all","positionx",TRUE,0,0,0,0,TRUE
"offscreen/all","positiony",TRUE,0,0,0,0,TRUE
"offscreen/all","positionz",TRUE,0,0,0,0,TRUE
"offscreen/all","uvx",TRUE,0,0,0,0,TRUE
"offscreen/all","uvy",TRUE,0,0,0,0,TRUE
"offscreen/all","uvz",TRUE,0,0,0,0,TRUE
"offscreen/raw_depth","image",TRUE,0,0,0,0,TRUE
"offscreen/normals","image",TRUE,0,0,0,0,TRUE
"offscreen/uv","image",TRUE,0,0,0,0,TRUE
"offscreen/position","image",TRUE,0,0,0,0,TRUE
"offscreen/depth","image",TRUE,0,0,0,0,TRUE
"near_crossing/none","image",FALSE,0.127893488118971,0.00111319283662547,777,0,TRUE
"near_crossing/all","r",FALSE,0.392822564958393,0.00455886922582277,483,0,TRUE
"near_crossing/all","g",FALSE,0.392822564958393,0.00455886922582277,483,0,TRUE
"near_crossing/all","b",FALSE,0.392822564958393,0.00455886922582277,483,0,TRUE
"near_crossing/all","a",TRUE,0,0,0,0,TRUE
"near_crossing/all","amb",TRUE,0,0,0,0,TRUE
"near_crossing/all","depth",FALSE,0.665152629036788,0.0364881545955088,815,0,TRUE
"near_crossing/all","linear_depth",FALSE,5.98241104679486,0.0936986948224741,815,0,TRUE
"near_crossing/all","normalx",FALSE,0.736542309296987,0.00854787979841766,530,0,TRUE
"near_crossing/all","normaly",FALSE,0.491028206197991,0.00569858653227845,497,0,TRUE
"near_crossing/all","normalz",FALSE,0.465184616398097,0.00539866092531643,502,0,TRUE
"near_crossing/all","positionx",FALSE,0.288761522061238,0.00582424177791367,815,0,TRUE
"near_crossing/all","positiony",FALSE,0.371242669931777,0.00433461070967437,815,0,TRUE
"near_crossing/all","positionz",FALSE,0.987808467059726,0.0153154327701912,815,0,TRUE
"near_crossing/all","uvx",FALSE,1,0.011605415860735,395,0,TRUE
"near_crossing/all","uvy",FALSE,1,0.011605415860735,395,0,TRUE
"near_crossing/all","uvz",FALSE,1,0.011605415860735,395,0,TRUE
"near_crossing/raw_depth","image",FALSE,5.98241104679486,0.0936986948224741,815,0,TRUE
"near_crossing/normals","image",FALSE,0.368271154648493,0.0032741878760021,801,0,TRUE
"near_crossing/uv","image",FALSE,1,0.0116054158607351,1185,0,TRUE
"near_crossing/position","image",FALSE,0.988545520656061,0.0158717490437154,3915,0,TRUE
"near_crossing/depth","image",FALSE,0.995717187510193,0.0121842893106272,2442,0,TRUE
"sliver/none","image",TRUE,0,0,0,0,TRUE
"sliver/all","r",TRUE,0,0,0,0,TRUE
"sliver/all","g",TRUE,0,0,0,0,TRUE
"sliver/all","b",TRUE,0,0,0,0,TRUE
"sliver/all","a",TRUE,0,0,0,0,TRUE
"sliver/all","amb",TRUE,0,0,0,0,TRUE
"sliver/all","depth",TRUE,0,0,0,0,TRUE
"sliver/all","linear_depth",TRUE,0,0,0,0,TRUE
"sliver/all","normalx",TRUE,0,0,0,0,TRUE
"sliver/all","normaly",TRUE,0,0,0,0,TRUE
"sliver/all","normalz",TRUE,0,0,0,0,TRUE
"sliver/all","positionx",TRUE,0,0,0,0,TRUE
"sliver/all","positiony",TRUE,0,0,0,0,TRUE
"sliver/all","positionz",TRUE,0,0,0,0,TRUE
"sliver/all","uvx",TRUE,0,0,0,0,TRUE
"sliver/all","uvy",TRUE,0,0,0,0,TRUE
